epidday,Date,PCR_Total,Rapid_total,Rapid_positive,pcr_positive,test_total,positive_total,hospitalised,intensive_cases,deaths,14days_cases,14_days_deaths,incidence,case_fatality_ratio,vaccinated,admited_all,admited_vacc,addmitet_non_vax,death_vaccinated,death_non_vax
1,08.3.2020,,,,,,4,,,0,,,,,,,,,,
2,09.3.2020,,,,,,0,,,0,,,,,,,,,,
3,10.3.2020,,,,,,2,,,0,,,,,,,,,,
4,11.3.2020,,,,,,1,,,1,,,,,,,,,,
5,12.3.2020,,,,,,16,,,0,,,,,,,,,,
6,13.3.2020,,,,,,8,,,0,,,,,,,,,,
7,14.3.2020,,,,,,10,,,1,,,,,,,,,,
8,15.3.2020,,,,,,11,,,0,,,,,,,,,,
9,16.3.2020,,,,,,11,,,0,,,,,,,,,,
10,17.3.2020,,,,,,18,,,0,,,,,,,,,,
11,18.3.2020,,,,,,11,,,0,,,,,,,,,,
12,19.3.2020,,,,,,15,,,1,,,,,,,,,,
13,20.3.2020,,,,,,20,,,0,,,,,,,,,,
14,21.3.2020,,,,,,36,,,0,163,3,"2,3448237369","0,0431562651",,,,,,
15,22.3.2020,,,,,,22,,,0,181,3,"2,6037613274","0,0431562651",,,,,,
16,23.3.2020,,,,,,16,,,0,197,3,"2,8339280746","0,0431562651",,,,,,
17,24.3.2020,,,,,,17,,,0,212,3,"3,0497094001","0,0431562651",,,,,,
18,25.3.2020,,,,,,24,,,0,235,2,"3,3805740992","0,0287708434",,,,,,
19,26.3.2020,,,,,,22,,,0,241,2,"3,4668866294","0,0287708434",,,,,,
20,27.3.2020,,,,,,29,99,,0,262,2,"3,768980485","0,0287708434",,,,,,
21,28.3.2020,,,,,,38,122,8,4,290,5,"4,1717722926","0,0719271085",,,,,,
22,29.3.2020,,,,,,15,125,13,1,294,6,"4,2293139794","0,0863125302",,,,,,
23,30.3.2020,,,,,,13,113,13,0,296,6,"4,2580848228","0,0863125302",,,,,,
24,31.3.2020,,,,,,40,146,14,0,318,6,"4,5745641001","0,0863125302",,,,,,
25,01.4.2020,,,,,,23,207,18,2,330,8,"4,7471891605","0,1150833736",,,,,,
26,02.4.2020,,,,,,35,179,18,0,350,7,"5,0348975945","0,1006979519",,,,,,
27,03.4.2020,,,,,,28,173,21,4,358,11,"5,1499809681","0,1582396387",,,,,,
28,04.4.2020,,,,,,18,192,26,4,340,15,"4,8910433775","0,2157813255",,,,,,
29,05.4.2020,,,,,,28,210,22,2,346,17,"4,9773559077","0,2445521689",,,,,,
30,06.4.2020,,,,,,18,201,26,2,348,19,"5,0061267511","0,2733230123",,,,,,
31,07.4.2020,,,,,,16,201,26,1,347,20,"4,9917413294","0,287708434",,,,,,
32,08.4.2020,,,,,,28,233,27,1,351,21,"5,0492830162","0,3020938557",,,,,,
33,09.4.2020,,,,,,25,,32,0,354,21,"5,0924392813","0,3020938557",,,,,,
34,10.4.2020,,,,,,17,231,,2,342,23,"4,9198142209","0,3308646991",,,,,,
35,11.4.2020,,,,,,26,,35,3,330,22,"4,7471891605","0,3164792774",,,,,,
36,12.4.2020,,,,,,14,,36,1,329,22,"4,7328037388","0,3164792774",,,,,,
37,13.4.2020,,,,,,10,,,3,326,25,"4,6896474737","0,3596355425",,,,,,
38,14.4.2020,,,,,,28,,29,2,314,27,"4,5170224134","0,3884063859",,,,,,
39,15.4.2020,,,,,,34,,39,1,325,26,"4,675262052","0,3740209642",,,,,,
40,16.4.2020,,,,,,53,,37,2,343,28,"4,9341996426","0,4027918076",,,,,,
41,17.4.2020,,,,,,46,,,3,361,27,"5,1931372332","0,3884063859",,,,,,
42,18.4.2020,,,,,,32,,35,1,375,24,"5,394533137","0,3452501208",,,,,,
43,19.4.2020,,,,,,16,,,1,363,23,"5,2219080766","0,3308646991",,,,,,
