РЗИ,AZ_1,AZ_2,JAN_1,JAN_2,JAN_3,MOD_1,MOD_2,MOD_3,COM_1,COM_2,COM_3
Благоевград,8761,8331,18284,212,16,7454,7597,4042,38962,40048,17453
Бургас,15806,14841,27996,238,14,8219,8324,4490,70190,71483,35022
Варна,11477,10788,39110,739,39,8539,8750,4161,89557,91060,40569
Велико Търново,8302,7892,13030,295,15,3391,3420,1392,29316,30294,17483
Видин,2561,2350,4405,56,1,1017,1010,522,9528,9812,5549
Враца,4469,4161,15561,253,12,2571,2821,1743,23372,25556,11709
Габрово,4340,4049,7271,91,5,2592,2603,1398,18212,18480,10318
Добрич,3883,3691,11566,162,11,2587,2587,707,28399,28733,12752
Кърджали,4224,3981,9091,117,33,2242,2243,392,33078,33058,11615
Кюстендил,4203,4004,8388,105,25,2519,2536,1563,20268,20676,11279
Ловеч,3260,3042,5568,188,24,2468,2442,997,20188,20196,10776
Монтана,3534,3201,7473,123,9,1750,1795,706,12275,12652,6719
Пазарджик,7929,7329,13409,172,15,4161,4205,1771,30769,31337,17506
Перник,2768,2573,5961,57,3,1777,1736,680,19513,19700,9152
Плевен,7509,7120,14710,499,19,9601,9609,3832,36311,36879,20093
Пловдив,21492,20414,46862,749,55,18881,19226,9720,113626,115002,55982
Разград,2860,2600,4796,64,3,1290,1279,334,20768,20902,8958
Русе,6524,6050,11620,171,9,5590,5588,1883,35402,35619,18012
Силистра,2866,2560,5456,162,3,1277,1297,537,15675,16045,7687
Сливен,5259,4958,13295,257,21,4257,4255,2165,22080,22451,11924
Смолян,3795,3483,4556,58,6,1763,1745,480,11327,11521,6952
София,10561,10153,17071,344,12,6313,6479,4016,44369,45544,23103
София (столица),76031,69163,161010,2775,279,76319,77425,40904,250332,257951,121858
Стара Загора,8072,7442,13401,329,26,9825,9829,4039,43025,43631,22577
Търговище,2682,2423,1990,17,5,1054,1034,307,17393,17321,8484
Хасково,6232,5785,8455,213,8,3666,3677,1211,32841,33102,17085
Шумен,4800,4393,6843,108,19,2943,2928,1437,26917,26973,12739
Ямбол,3792,3561,4737,40,1,2350,2328,942,18596,18745,10013
