region,region_id,2020,2021,av_p
Благоевград,1,302694,301138,301916
Бургас,2,409265,409750,409507.5
Варна,3,469885,470124,470004.5
Велико Търново,4,232568,229718,231143
Видин,5,82835,81212,82023.5
Враца,6,159470,157637,158553.5
Габрово,7,106598,105788,106193
Добрич,8,171809,170298,171053.5
Кърджали,9,158204,160781,159492.5
Кюстендил,10,116915,116619,116767
Ловеч,11,122546,122490,122518
Монтана,12,127001,125395,126198
Пазарджик,13,252776,251300,252038
Перник,14,119190,120426,119808
Плевен,15,236305,233438,234871.5
Пловдив,16,666801,666398,666599.5
Разград,17,110789,109810,110299.5
Русе,18,215477,212729,214103
Силистра,19,108018,106852,107435
Сливен,20,184119,182551,183335
Смолян,21,103532,101887,102709.5
София (столица),22,1328790,1308412,1318601
София,23,226671,238476,232573.5
Стара Загора,24,313396,311400,312398
Търговище,25,110914,110027,110470.5
Хасково,26,225317,223625,224471
Шумен,27,172262,171781,172021.5
Ямбол,28,117335,116486,116910.5
