region,year ,month,date,hospital_beds,COVID_hospitals,Hospitals,COVID_Beds,Intensive_COVID_beds,ID_Beds,Infection_beds,COVID_proportion,Hospitals_involved
Благоевград,2020,август,15.8.2020,1815,6,11,226,57,22,69,"12,45","54,5"
Варна,2020,август,15.8.2020,2389,4,19,110,90,5,70,"4,60","21,1"
Велико Търново,2020,август,15.8.2020,1576,4,13,36,31,0,35,"2,28","30,8"
Видин,2020,август,15.8.2020,320,1,2,54,6,6,0,"16,88","50,0"
Враца,2020,август,15.8.2020,1201,0,12,26,40,0,10,"2,16","0,0"
Габрово,2020,август,15.8.2020,905,3,7,40,13,0,34,"4,42","42,9"
Кюстендил,2020,август,15.8.2020,1011,2,5,45,22,8,46,"4,45","40,0"
Монтана,2020,август,15.8.2020,994,4,5,55,22,5,11,"5,53","80,0"
Перник,2020,август,15.8.2020,447,3,4,0,10,0,15,"0,00","75,0"
Плевен,2020,август,15.8.2020,2272,10,14,116,105,11,40,"5,11","71,4"
Пловдив,2020,август,15.8.2020,7617,16,39,372,242,62,84,"4,88","41,0"
Разград,2020,август,15.8.2020,553,3,3,50,22,0,15,"9,04","100,0"
Русе,2020,август,15.8.2020,1850,4,10,279,54,48,20,"15,08","40,0"
Сливен,2020,август,15.8.2020,1167,5,8,96,27,0,48,"8,23","62,5"
Смолян,2020,август,15.8.2020,1059,4,8,157,9,9,13,"14,83","50,0"
София-град,2020,август,15.8.2020,12314,13,74,387,665,135,223,"3,14","17,6"
Шумен,2020,август,15.8.2020,747,0,5,0,28,0,35,"0,00","0,0"
Ямбол,2020,август,15.8.2020,452,1,4,10,23,0,10,"2,21","25,0"
Бургас,2020,август,15.8.2020,3050,4,18,76,77,12,53,"2,49","22,2"
Кърджали,2020,август,15.8.2020,769,2,6,26,19,4,24,"3,38","33,3"
Хасково,2020,август,15.8.2020,1093,6,11,27,38,0,22,"2,47","54,5"
Благоевград,2020,април,15.4.2020,1815,5,11,94,57,12,69,"5,18","45,5"
Варна,2020,април,15.4.2020,2389,1,19,70,90,0,70,"2,93","5,3"
Велико Търново,2020,април,15.4.2020,1576,2,13,23,39,0,30,"1,46","15,4"
Видин,2020,април,15.4.2020,320,1,2,54,6,6,0,"16,88","50,0"
Враца,2020,април,15.4.2020,1201,0,12,24,40,0,10,"2,00","0,0"
Габрово,2020,април,15.4.2020,905,2,7,30,13,0,30,"3,31","28,6"
Кюстендил,2020,април,15.4.2020,1011,2,5,45,22,8,46,"4,45","40,0"
Монтана,2020,април,15.4.2020,994,4,5,62,22,5,5,"6,24","80,0"
Перник,2020,април,15.4.2020,447,3,4,0,10,0,15,"0,00","75,0"
Плевен,2020,април,15.4.2020,2053,3,14,88,105,3,40,"4,29","21,4"
Пловдив,2020,април,15.4.2020,7617,15,39,334,242,68,84,"4,38","38,5"
Разград,2020,април,15.4.2020,553,3,3,116,22,16,10,"20,98","100,0"
Русе,2020,април,15.4.2020,1850,4,10,279,54,48,20,"15,08","40,0"
Сливен,2020,април,15.4.2020,1167,4,8,96,27,0,48,"8,23","50,0"
Смолян,2020,април,15.4.2020,1059,4,8,159,9,9,15,"15,01","50,0"
София-град,2020,април,15.4.2020,12214,19,74,333,665,121,213,"2,73","25,7"
Шумен,2020,април,15.4.2020,762,0,5,0,28,0,20,"0,00","0,0"
Ямбол,2020,април,15.4.2020,452,1,4,10,23,0,10,"2,21","25,0"
Бургас,2020,април,15.4.2020,3050,3,18,32,67,12,35,"1,05","16,7"
