region;year ;month;hospital_beds;COVID_hospitals;Hospitals;COVID_Beds;Intensive_COVID_beds;ID_Beds;Infection_beds;COVID_proportion;Hospitals_involved
Благоевград;2020;март;1815;5;11;50;57;10;69;2,75;45,5
Благоевград;2020;април;1815;5;11;94;57;12;69;5,18;45,5
Благоевград;2020;май;1815;5;11;128;57;17;69;7,05;45,5
Благоевград;2020;юни;1815;6;11;156;57;20;69;8,6;54,5
Благоевград;2020;юли;1815;6;11;187;57;20;69;10,3;54,5
Благоевград;2020;август;1815;6;11;226;57;22;69;12,45;54,5
Благоевград;2020;септември;1815;6;11;345;57;22;69;19,01;54,5
Благоевград;2020;октомври;1815;6;11;482;57;24;69;26,56;54,5
Благоевград;2020;ноември;1815;7;11;567;57;26;69;31,24;63,6
Благоевград;2020;декември;1815;7;11;620;57;29;69;34,16;63,6
Благоевград;2021;август;1815;7;11;114;57;11;69;6,28;63,6
Благоевград;2021;юли;1815;7;11;214;57;18;69;11,79;63,6
Благоевград;2021;юни;1815;7;11;304;57;18;69;16,75;63,6
Благоевград;2021;септември;1815;7;11;334;57;21;69;18,4;63,6
Благоевград;2021;февруари;1815;7;11;375;57;18;69;20,66;63,6
Благоевград;2021;декември;1815;7;11;387;57;25;69;21,32;63,6
Благоевград;2021;май;1815;7;11;400;57;21;69;22,04;63,6
Благоевград;2021;октомври;1815;7;11;405;57;21;69;22,31;63,6
Благоевград;2021;март;1815;7;11;466;57;19;69;25,67;63,6
Благоевград;2021;ноември;1815;7;11;479;57;27;69;26,39;63,6
Благоевград;2021;януари;1815;7;11;517;57;29;69;28,48;63,6
Благоевград;2021;април;1815;7;11;569;57;24;69;31,35;63,6
Благоевград;2022;февруари;1815;7;11;397;57;25;69;21,87;63,6
Благоевград;2022;януари;1815;7;11;399;57;25;69;21,98;63,6
Варна;2020;юни;2389;1;19;70;90;0;70;2,93;5,3
Варна;2020;юли;2389;1;19;70;90;0;70;2,93;5,3
Варна;2020;март;2389;1;19;70;90;0;70;2,93;5,3
Варна;2020;май;2389;1;19;70;90;0;70;2,93;5,3
Варна;2020;април;2389;1;19;70;90;0;70;2,93;5,3
Варна;2020;септември;2389;4;19;110;90;5;70;4,6;21,1
Варна;2020;август;2389;4;19;110;90;5;70;4,6;21,1
Варна;2020;октомври;2389;5;19;161;90;20;70;6,74;26,3
Варна;2020;ноември;2426;8;19;468;127;45;70;19,29;42,1
Варна;2020;декември;2426;8;19;511;127;45;70;21,06;42,1
Варна;2021;юли;2389;1;19;82;90;7;70;3,43;5,3
Варна;2021;юни;2389;6;19;189;90;5;70;7,91;31,6
Варна;2021;февруари;2389;8;19;261;90;45;70;10,93;42,1
Варна;2021;май;2389;7;19;264;90;33;70;11,05;36,8
Варна;2021;август;2389;7;19;304;90;32;70;12,72;36,8
Варна;2021;януари;2426;8;19;334;127;23;70;13,77;42,1
Варна;2021;септември;2389;7;19;466;90;35;70;19,51;36,8
Варна;2021;декември;2389;6;19;470;90;57;70;19,67;31,6
Варна;2021;ноември;2389;7;19;560;90;57;70;23,44;36,8
Варна;2021;април;2389;8;19;566;90;72;70;23,69;42,1
Варна;2021;октомври;2389;7;19;590;90;54;70;24,7;36,8
Варна;2021;март;2389;8;19;647;90;72;70;27,08;42,1
Варна;2022;януари;2389;7;19;486;90;57;70;20,34;36,8
Варна;2022;февруари;2389;7;19;486;90;67;70;20,34;36,8
Велико Търново;2020;март;1576;2;13;23;39;0;30;1,46;15,4
Велико Търново;2020;април;1576;2;13;23;39;0;30;1,46;15,4
Велико Търново;2020;май;1576;2;13;23;39;0;30;1,46;15,4
Велико Търново;2020;юни;1576;2;13;23;39;0;30;1,46;15,4
Велико Търново;2020;юли;1576;3;13;28;39;0;35;1,78;23,1
Велико Търново;2020;август;1576;4;13;36;31;0;35;2,28;30,8
Велико Търново;2020;септември;1576;4;13;50;31;0;35;3,17;30,8
Велико Търново;2020;октомври;1576;4;13;88;31;0;58;5,58;30,8
Велико Търново;2020;ноември;1576;6;13;212;41;8;129;13,45;46,2
Велико Търново;2020;декември;1576;6;13;269;41;16;123;17,07;46,2
Велико Търново;2021;юли;1576;6;13;94;41;12;44;5,96;46,2
Велико Търново;2021;юни;1576;6;13;96;41;12;40;6,09;46,2
Велико Търново;2021;декември;1576;6;13;227;39;18;84;14,4;46,2
Велико Търново;2021;август;1576;6;13;236;43;20;126;14,97;46,2
Велико Търново;2021;септември;1576;6;13;248;43;20;123;15,74;46,2
Велико Търново;2021;ноември;1576;6;13;263;43;20;142;16,69;46,2
Велико Търново;2021;януари;1576;6;13;269;41;16;123;17,07;46,2
Велико Търново;2021;февруари;1576;6;13;269;41;16;123;17,07;46,2
Велико Търново;2021;октомври;1576;6;13;277;43;22;142;17,58;46,2
Велико Търново;2021;март;1576;6;13;279;41;20;123;17,7;46,2
Велико Търново;2021;април;1576;6;13;279;41;20;133;17,7;46,2
Велико Търново;2021;май;1576;6;13;279;41;20;135;17,7;46,2
Велико Търново;2022;януари;1576;6;13;257;39;18;112;16,31;46,2
