region,year ,doctors,intensive,infectionist,epidemiologists,GP,pulmologist,nurses 
Благоевград,2020,463,18,8,5,180,10,751
Благоевград,2021,419,17,7,5,174,9,698
Варна,2020,1447,104,18,13,305,45,1667
Варна,2021,1464,93,19,12,306,40,1279
Велико Търново,2020,365,28,4,3,133,14,742
Велико Търново,2021,367,28,4,3,130,14,681
Видин,2020,102,6,3,3,58,8,208
Видин,2021,106,6,3,3,57,8,207
Враца,2020,362,25,3,2,93,16,721
Враца,2021,321,24,3,2,90,12,607
Габрово,2020,223,13,4,2,70,19,409
Габрово,2021,218,12,4,2,69,18,388
Кюстендил,2020,223,20,2,3,80,10,368
Кюстендил,2021,207,21,3,3,77,8,361
Монтана ,2020,209,19,5,0,83,9,562
Монтана,2021,202,19,4,0,78,10,563
Перник,2020,150,9,1,0,82,4,238
Перник,2021,153,9,1,0,82,4,245
Плевен,2020,915,93,6,4,194,29,1295
Плевен,2021,964,91,8,4,195,30,1313
Пловдив,2020,2245,203,33,2,511,47,2106
Пловдив,2021,2272,218,38,2,506,38,2079
Разград,2020,177,16,4,0,46,5,366
Разград,2021,150,18,5,0,44,5,338
Русе,2020,495,34,5,2,98,16,981
Русе,2021,505,34,5,2,95,16,983
София-град,2020,5659,534,36,13,769,94,5692
София-град,2021,5794,542,36,13,776,93,5404
Шумен,2020,243,16,2,1,93,5,391
Шумен,2021,246,16,2,1,91,5,389
Ямбол,2020,175,14,3,3,69,5,388
Ямбол,2021,178,17,3,2,69,4,371
Бургас,2020,1367,77,10,3,218,20,2166
Бургас,2021,1395,85,10,3,214,20,2145
Кърджали,2020,240,23,5,1,56,7,418
Кърджали,2021,233,23,5,1,56,7,424
