region,year ,region_id,month,date,period,hospital_beds,COVID_hospitals,Hospitals,COVID_Beds,Intensive_COVID_beds,ID_Beds,Infection_beds,COVID_proportion,Hospitals_involved
Благоевград,2020,1,март,15/03/2020,1.00,1815,5,11,50,57,10,69,2.75,45.5
Благоевград,2020,1,април,15/04/2020,2.00,1815,5,11,94,57,12,69,5.18,45.5
Благоевград,2020,1,май,15/05/2020,3.00,1815,5,11,128,57,17,69,7.05,45.5
Благоевград,2020,1,юни,15/06/2020,4.00,1815,6,11,156,57,20,69,8.60,54.5
Благоевград,2020,1,юли,15/07/2020,5.00,1815,6,11,187,57,20,69,10.30,54.5
Благоевград,2020,1,август,15/08/2020,6.00,1815,6,11,226,57,22,69,12.45,54.5
Благоевград,2020,1,септември,15/09/2020,7.00,1815,6,11,345,57,22,69,19.01,54.5
Благоевград,2020,1,октомври,15/10/2020,8.00,1815,6,11,482,57,24,69,26.56,54.5
Благоевград,2020,1,ноември,15/11/2020,9.00,1815,7,11,567,57,26,69,31.24,63.6
Благоевград,2020,1,декември,15/12/2020,10.00,1815,7,11,620,57,29,69,34.16,63.6
Благоевград,2021,1,януари,15/01/2021,11.00,1815,7,11,517,57,29,69,28.48,63.6
Благоевград,2021,1,февруари,15/02/2021,12.00,1815,7,11,375,57,18,69,20.66,63.6
Благоевград,2021,1,март,15/03/2021,13.00,1815,7,11,466,57,19,69,25.67,63.6
Благоевград,2021,1,април,15/04/2021,14.00,1815,7,11,569,57,24,69,31.35,63.6
Благоевград,2021,1,май,15/05/2021,15.00,1815,7,11,400,57,21,69,22.04,63.6
Благоевград,2021,1,юни,15/06/2021,16.00,1815,7,11,304,57,18,69,16.75,63.6
Благоевград,2021,1,юли,15/07/2021,17.00,1815,7,11,214,57,18,69,11.79,63.6
Благоевград,2022,1,февруари,15/02/2021,24.00,1815,7,11,397,57,25,69,21.87,63.6
Благоевград,2022,1,януари,15/01/2022,23.00,1815,7,11,399,57,25,69,21.98,63.6
Благоевград,2021,1,август,15/08/2021,18.00,1815,7,11,114,57,11,69,6.28,63.6
Благоевград,2021,1,септември,15/09/2021,19.00,1815,7,11,334,57,21,69,18.40,63.6
Благоевград,2021,1,октомври,15/10/2021,20.00,1815,7,11,405,57,21,69,22.31,63.6
Благоевград,2021,1,ноември,15/11/2021,21.00,1815,7,11,479,57,27,69,26.39,63.6
Благоевград,2021,1,декември,15/12/2021,22.00,1815,7,11,387,57,25,69,21.32,63.6
Бургас,2020,2,март,15/03/2020,1.00,3050,2,18,22,67,12,35,0.72,11.1
Бургас,2020,2,април,15/04/2020,2.00,3050,3,18,32,67,12,35,1.05,16.7
Бургас,2020,2,май,15/05/2020,3.00,3050,2,18,22,67,12,35,0.72,11.1
Бургас,2020,2,юни,15/06/2020,4.00,3050,2,18,22,77,12,53,0.72,11.1
Бургас,2020,2,юли,15/07/2020,5.00,3050,2,18,22,77,12,53,0.72,11.1
Бургас,2020,2,август,15/08/2020,6.00,3050,4,18,76,77,12,53,2.49,22.2
Бургас,2020,2,септември,15/09/2020,7.00,3050,5,18,91,77,12,53,2.98,27.8
Бургас,2020,2,октомври,15/10/2020,8.00,3050,12,18,257,77,19,53,8.43,66.7
Бургас,2020,2,ноември,15/11/2020,9.00,3050,11,18,583,77,28,53,19.11,61.1
Бургас,2020,2,декември,15/12/2020,10.00,3050,11,18,614,89,28,53,20.13,61.1
Бургас,2021,2,януари,15/01/2021,11.00,3050,11,18,493,89,24,53,16.16,61.1
Бургас,2021,2,февруари,15/02/2021,12.00,3050,11,18,422,89,22,53,13.84,61.1
Бургас,2021,2,март,15/03/2021,13.00,3050,11,18,617,89,29,53,20.23,61.1
Бургас,2021,2,април,15/04/2021,14.00,3050,11,18,727,89,29,53,23.84,61.1
Бургас,2021,2,май,15/05/2021,15.00,3050,11,18,398,89,25,53,13.05,61.1
Бургас,2021,2,юни,15/06/2021,16.00,3050,5,18,92,89,14,53,3.02,27.8
Бургас,2021,2,юли,15/07/2021,17.00,3050,7,18,74,89,4,53,2.43,38.9
Бургас,2022,2,февруари,15/02/2021,24.00,3050,11,18,387,117,43,53,12.69,61.1
Бургас,2022,2,януари,15/01/2022,23.00,3050,11,18,430,117,36,53,14.10,61.1
Бургас,2021,2,август,15/08/2021,18.00,3050,10,18,251,89,24,53,8.23,55.6
Бургас,2021,2,септември,15/09/2021,19.00,3050,10,18,330,89,24,53,10.82,55.6
Бургас,2021,2,октомври,15/10/2021,20.00,3050,11,18,340,89,27,53,11.15,61.1
Бургас,2021,2,ноември,15/11/2021,21.00,3050,11,18,387,89,30,53,12.69,61.1
Бургас,2021,2,декември,15/12/2021,22.00,3050,11,18,387,117,28,53,12.69,61.1
Варна,2020,3,март,15/03/2020,1.00,2389,1,19,70,90,0,70,2.93,5.3
Варна,2020,3,април,15/04/2020,2.00,2389,1,19,70,90,0,70,2.93,5.3
Варна,2020,3,май,15/05/2020,3.00,2389,1,19,70,90,0,70,2.93,5.3
Варна,2020,3,юни,15/06/2020,4.00,2389,1,19,70,90,0,70,2.93,5.3
Варна,2020,3,юли,15/07/2020,5.00,2389,1,19,70,90,0,70,2.93,5.3
Варна,2020,3,август,15/08/2020,6.00,2389,4,19,110,90,5,70,4.60,21.1
Варна,2020,3,септември,15/09/2020,7.00,2389,4,19,110,90,5,70,4.60,21.1
Варна,2020,3,октомври,15/10/2020,8.00,2389,5,19,161,90,20,70,6.74,26.3
Варна,2020,3,ноември,15/11/2020,9.00,2426,8,19,468,127,45,70,19.29,42.1
