region;av_p;incidence;vacinated
Благоевград;301916;165.4996754;241.0239934
Бургас;409507.5;183.1175253;295.410951
Варна;470004.5;204.3001716;314.0799716
Велико Търново;231143;122.0672917;231.9862596
Видин;82023.5;133.6933927;210.2690083
Враца;158553.5;167.1549351;296.4299117
Габрово;106193;177.7424124;301.5923837
Добрич;171053.5;126.463358;268.4715601
Кърджали;159492.5;62.43553772;300.7727636
Кюстендил;116767;176.8650389;300.2303733
Ловеч;122518;136.445257;253.1954488
Монтана;126198;153.8930886;194.9159258
Пазарджик;252038;117.8433411;219.7763829
Перник;119808;188.8938969;246.6947115
Плевен;234871.5;140.4172069;286.7866046
Пловдив;666599.5;154.6010761;297.6629895
Разград;110299.5;99.30235405;265.2686549
Русе;214103;158.8207545;271.7150157
Силистра;107435;141.8345977;231.8704333
Сливен;183335;145.4059509;242.3541604
Смолян;102709.5;123.6497111;204.3919988
София (столица);1318601;222.3720443;421.0128765
София;232573.5;174.8780493;335.1155656
Стара Загора;312398;167.9364144;234.0251858
Търговище;110470.5;111.7673949;205.430409
Хасково;224471;124.1318478;225.3297753
Шумен;172021.5;132.698529;237.0226977
Ямбол;116910.5;151.7400062;248.4806754
