region,date,,doses
Благоевград,30/11/2020 22:00,,200.00
Благоевград,31/12/2020 22:00,,1173.00
Благоевград,31/01/2021 22:00,,4728.00
Благоевград,28/02/2021 22:00,,8340.00
Благоевград,31/03/2021 21:00,,10155.00
Благоевград,30/04/2021 21:00,,20765.00
Благоевград,31/05/2021 21:00,,14839.00
Благоевград,30/06/2021 21:00,,10585.00
Благоевград,31/07/2021 21:00,,10238.00
Благоевград,31/08/2021 21:00,,7183.00
Благоевград,30/09/2021 21:00,,10513.00
Благоевград,31/10/2021 22:00,,16775.00
Благоевград,30/11/2021 22:00,,13990.00
Благоевград,31/12/2021 22:00,,15975.00
Благоевград,31/01/2022 22:00,,4530.00
Благоевград,28/02/2022 22:00,,1455.00
Бургас,30/11/2020 22:00,,250.00
Бургас,31/12/2020 22:00,,1901.00
Бургас,31/01/2021 22:00,,10954.00
Бургас,28/02/2021 22:00,,12998.00
Бургас,31/03/2021 21:00,,19775.00
Бургас,30/04/2021 21:00,,33256.00
Бургас,31/05/2021 21:00,,24765.00
Бургас,30/06/2021 21:00,,16102.00
Бургас,31/07/2021 21:00,,17338.00
Бургас,31/08/2021 21:00,,13230.00
Бургас,30/09/2021 21:00,,19185.00
Бургас,31/10/2021 22:00,,28036.00
Бургас,30/11/2021 22:00,,21491.00
Бургас,31/12/2021 22:00,,27478.00
Бургас,31/01/2022 22:00,,8141.00
Бургас,28/02/2022 22:00,,2190.00
Варна,30/11/2020 22:00,,425.00
Варна,31/12/2020 22:00,,2245.00
Варна,31/01/2021 22:00,,11796.00
Варна,28/02/2021 22:00,,15611.00
Варна,31/03/2021 21:00,,19232.00
Варна,30/04/2021 21:00,,37814.00
Варна,31/05/2021 21:00,,28124.00
Варна,30/06/2021 21:00,,19394.00
Варна,31/07/2021 21:00,,19924.00
Варна,31/08/2021 21:00,,15767.00
Варна,30/09/2021 21:00,,24519.00
Варна,31/10/2021 22:00,,37347.00
Варна,30/11/2021 22:00,,27081.00
Варна,31/12/2021 22:00,,33316.00
Варна,31/01/2022 22:00,,9853.00
Варна,28/02/2022 22:00,,2979.00
Велико Търново,30/11/2020 22:00,,200.00
Велико Търново,31/12/2020 22:00,,1154.00
Велико Търново,31/01/2021 22:00,,4904.00
Велико Търново,28/02/2021 22:00,,7061.00
Велико Търново,31/03/2021 21:00,,7510.00
Велико Търново,30/04/2021 21:00,,14250.00
Велико Търново,31/05/2021 21:00,,10335.00
Велико Търново,30/06/2021 21:00,,7013.00
Велико Търново,31/07/2021 21:00,,7907.00
Велико Търново,31/08/2021 21:00,,6441.00
Велико Търново,30/09/2021 21:00,,7699.00
Велико Търново,31/10/2021 22:00,,11956.00
Велико Търново,30/11/2021 22:00,,10082.00
Велико Търново,31/12/2021 22:00,,13599.00
Велико Търново,31/01/2022 22:00,,3889.00
Велико Търново,28/02/2022 22:00,,1031.00
Видин,30/11/2020 22:00,,50.00
Видин,31/12/2020 22:00,,346.00
Видин,31/01/2021 22:00,,1513.00
Видин,28/02/2021 22:00,,2830.00
Видин,31/03/2021 21:00,,2949.00
Видин,30/04/2021 21:00,,4473.00
Видин,31/05/2021 21:00,,2547.00
Видин,30/06/2021 21:00,,2124.00
Видин,31/07/2021 21:00,,2225.00
Видин,31/08/2021 21:00,,1752.00
Видин,30/09/2021 21:00,,2651.00
Видин,31/10/2021 22:00,,4155.00
Видин,30/11/2021 22:00,,3276.00
Видин,31/12/2021 22:00,,4462.00
Видин,31/01/2022 22:00,,1189.00
Видин,28/02/2022 22:00,,325.00
Враца,30/11/2020 22:00,,100.00
Враца,31/12/2020 22:00,,670.00
Враца,31/01/2021 22:00,,3138.00
Враца,28/02/2021 22:00,,5833.00
Враца,31/03/2021 21:00,,7539.00
Враца,30/04/2021 21:00,,8579.00
Враца,31/05/2021 21:00,,6584.00
Враца,30/06/2021 21:00,,5793.00
Враца,31/07/2021 21:00,,7415.00
Враца,31/08/2021 21:00,,5666.00
Враца,30/09/2021 21:00,,6912.00
Враца,31/10/2021 22:00,,10581.00
Враца,30/11/2021 22:00,,7947.00
Враца,31/12/2021 22:00,,11463.00
